Unnamed: 0,timestamp,user_id,song_id,liked,personalized,spotify_popularity,treatment_group
1715075,2023-06-20 03:50:02,3744580,1846428,1,1,83,4
92092,2020-04-12 12:49:15,3728983,1930994,1,1,52,-1
581166,2021-10-03 02:00:50,3738975,702,1,1,69,0
416855,2021-03-26 15:25:30,3732343,198847,1,1,54,0
824544,2022-03-25 04:00:41,3732204,120399,1,1,68,0
1572135,2023-04-16 20:04:28,3744299,52890,1,1,45,4
757131,2022-03-03 22:05:35,3740384,13958,1,0,74,0
1121355,2022-09-14 00:29:22,3742589,5570441,1,1,74,1
219620,2020-05-30 15:51:37,3731107,58259,0,1,44,-1
1450199,2023-02-21 22:18:47,3731419,268194,0,1,44,4
1336258,2022-12-19 03:30:02,3742917,5399919,2,1,87,4
740190,2022-02-24 05:10:35,3732204,136844,1,1,56,0
1306209,2022-12-02 06:22:43,3743749,1774764,0,1,59,2
1332550,2022-12-17 03:05:56,3742687,2504465,0,1,0,4
607001,2021-10-29 00:56:19,3738053,3347,2,1,77,0
857714,2022-04-16 04:15:02,3740207,97364,0,1,49,0
1304493,2022-12-01 16:06:36,3743743,273680,2,1,55,3
1524025,2023-03-24 13:20:52,3741662,4990693,2,1,53,4
144586,2020-05-03 11:07:49,3730862,1767368,0,1,53,-1
1032986,2022-08-12 19:09:34,3739892,1089552,1,1,41,0
1387458,2023-01-16 16:18:44,3741763,127043,1,0,75,4
248097,2020-06-10 17:38:54,3731489,1916926,1,1,0,-1
719665,2022-02-17 19:17:27,3740068,6314,0,1,64,0
706688,2022-02-10 03:39:55,3739293,393161,0,1,33,0
1581537,2023-04-20 02:54:58,3744351,8074126,0,1,59,4
1249101,2022-11-07 20:54:18,3740866,1875807,1,1,59,3
1429901,2023-02-09 22:07:35,3743416,24666,0,0,68,4
1048837,2022-08-20 02:29:15,3742447,2052923,2,2,55,2
1128190,2022-09-15 16:08:09,3741749,5405394,1,1,78,2
744749,2022-02-26 15:29:21,3739887,3701036,0,1,79,0
581888,2021-10-03 21:16:12,3738473,3380485,0,1,75,0
1319593,2022-12-08 22:46:22,3742687,2693,0,1,74,4
1169355,2022-10-03 00:41:15,3742666,1769021,1,1,81,1
457590,2021-05-21 07:34:55,3736409,167459,1,1,36,0
1494506,2023-03-10 18:58:19,3744086,5077027,2,1,63,4
1359097,2023-01-02 00:39:04,3743762,4102897,1,1,56,4
64580,2020-03-28 21:06:04,3729192,3888,0,1,42,-1
778746,2022-03-10 01:58:52,3740645,2611883,1,1,53,0
1415053,2023-02-01 23:00:37,3743950,71450,0,1,36,4
1472030,2023-02-28 20:04:12,3744004,274,2,1,67,4
739181,2022-02-23 18:32:20,3739923,30927,2,1,65,0
287500,2020-07-05 03:50:43,3729405,1782697,1,1,65,-1
322754,2020-08-06 13:16:20,3732256,5025044,2,1,66,-1
1741631,2023-06-28 08:17:48,3737922,5420192,0,1,68,4
896140,2022-05-09 23:38:47,3741501,4666161,0,2,65,0
628599,2021-11-21 08:05:55,3739293,1882767,0,0,34,0
381661,2021-01-07 01:06:26,3733958,4440942,1,1,7,-1
1374054,2023-01-09 20:53:46,3741814,8107293,0,1,49,4
876955,2022-04-29 20:33:16,3741417,2221485,0,1,56,0
781242,2022-03-10 20:12:25,3740674,1805259,1,2,51,0
881905,2022-05-01 22:36:48,3738975,8106001,0,1,28,0
137424,2020-04-30 17:34:24,3729398,5033132,0,1,35,-1
351888,2020-09-27 14:29:30,3732165,1866606,0,1,34,-1
916168,2022-05-28 02:39:57,3738975,26615,0,1,72,0
963274,2022-07-06 20:36:49,3741749,3420059,0,1,18,0
776055,2022-03-09 03:06:28,3740623,3308781,0,1,55,0
347201,2020-09-13 16:05:47,3732154,40751,0,1,67,-1
560570,2021-09-15 16:33:03,3738333,1077,0,1,73,0
333015,2020-08-17 14:07:22,3732165,236709,0,1,34,-1
1369574,2023-01-06 21:02:54,3743484,650510,2,2,83,4
800258,2022-03-17 16:54:01,3740843,5351701,0,1,66,0
1251498,2022-11-09 00:26:04,3742692,1803111,0,1,69,2
310956,2020-07-27 13:39:46,3732286,2608467,0,1,36,-1
218996,2020-05-30 12:41:45,3731147,4175672,1,1,39,-1
1048166,2022-08-19 21:43:44,3742462,398,1,1,75,1
872459,2022-04-27 13:08:59,3737771,1792176,1,1,88,0
1382391,2023-01-14 00:33:08,3742925,1886754,1,1,81,4
760340,2022-03-04 13:28:50,3740431,4118690,1,2,58,0
800043,2022-03-17 16:16:38,3740772,3325262,0,1,67,0
161549,2020-05-08 23:43:21,3730717,811681,0,1,17,-1
518777,2021-08-04 22:25:17,3737984,1774109,1,1,54,0
1200874,2022-10-14 21:19:23,3741814,1829927,0,1,61,3
1004372,2022-07-27 23:48:50,3738975,1783926,0,0,68,0
61686,2020-03-25 14:58:50,3729866,4555752,1,1,62,-1
